"EY","CFTP","ln_MV","DY","BTME","DTE","HSI"
-2.44,-0.6098,3.9671,0,0.0453,4.7588,0
-2.3275,-3.2903,5.7327,0,7.1429,1.7645,0
-1.4207,0.4584,5.811,6.136,8.9394,1.9723,0
0.1934,0.5595,4.7982,0,4.513,0.3927,0
0.0437,-0.1045,5.0505,0,1.5385,2.0436,0
-0.42,0.0534,4.4926,0,3.4483,0.005,0
0.132,0.3445,6.3168,3.256,0.7615,-1.8018,0
-0.0475,0.0164,4.8426,0,0.9027,0.4817,0
0.0749,-0.0092,4.1537,3.12,1.7857,0.6862,0
0.1217,0.2213,5.2801,8.65,1.1193,0.1725,0
0.2213,2.2312,10.1181,10.154,1.1142,0.5402,0
0.1825,0.2339,5.8039,5.758,1.2227,1.3956,0
0.0144,-0.2475,5.3572,0,2.5412,0.3607,0
0.6546,-0.2093,5.5695,3.846,1.9614,0.6172,0
0.0725,0.1247,5.3953,4,4,0.3232,0
0.0465,-0.0027,5.8534,0,1.6028,0.4734,0
-2.7275,-0.0675,6.1102,0,0.4147,0.3472,0
0.0895,0.1648,6.0948,0,0.5997,7.6469,0
-0.2014,-0.165,3.3878,0,1,1.0124,0
-0.2034,-0.3462,5.5233,0,1.3027,0.9107,0
0.0126,-0.1378,5.3315,0,2.8369,1.9396,0
